c_real,c_img,divergence
-1.848485,0.166667,1
-1.848485,0.188889,1
-1.848485,0.211111,1
-1.848485,0.233333,1
-1.848485,0.255556,1
-1.848485,0.277778,1
-1.848485,0.300000,1
-1.848485,0.322222,1
-1.848485,0.344444,1
-1.848485,0.366667,1
-1.848485,0.388889,1
-1.848485,0.411111,1
-1.848485,0.433333,1
-1.848485,0.455556,1
-1.848485,0.477778,1
-1.848485,0.500000,1
-1.848485,0.522222,1
-1.848485,0.544444,1
-1.848485,0.566667,1
-1.848485,0.588889,1
-1.848485,0.611111,1
-1.848485,0.633333,1
-1.848485,0.655556,1
-1.848485,0.677778,1
-1.848485,0.700000,1
-1.848485,0.722222,1
-1.848485,0.744444,1
-1.848485,0.766667,1
-1.848485,0.788889,1
-1.848485,0.811111,1
-1.848485,0.833333,1
-1.848485,0.855556,1
-1.848485,0.877778,1
-1.848485,0.900000,1
-1.848485,0.922222,1
-1.848485,0.944444,1
-1.848485,0.966667,1
-1.848485,0.988889,1
-1.848485,1.011111,1
-1.848485,1.033333,1
-1.848485,1.055556,1
-1.848485,1.077778,1
-1.848485,1.100000,1
-1.823232,-1.100000,1
-1.823232,-1.077778,1
-1.823232,-1.055556,1
-1.823232,-1.033333,1
-1.823232,-1.011111,1
-1.823232,-0.988889,1
-1.823232,-0.966667,1
-1.823232,-0.944444,1
-1.823232,-0.922222,1
-1.823232,-0.900000,1
-1.823232,-0.877778,1
-1.823232,-0.855556,1
-1.823232,-0.833333,1
-1.823232,-0.811111,1
-1.823232,-0.788889,1
-1.823232,-0.766667,1
-1.823232,-0.744444,1
-1.823232,-0.722222,1
-1.823232,-0.700000,1
-1.823232,-0.677778,1
-1.823232,-0.655556,1
-1.823232,-0.633333,1
-1.823232,-0.611111,1
-1.823232,-0.588889,1
-1.823232,-0.566667,1
-1.823232,-0.544444,1
-1.823232,-0.522222,1
-1.823232,-0.500000,1
-1.823232,-0.477778,1
-1.823232,-0.455556,1
-1.823232,-0.433333,1
-1.823232,-0.411111,1
-1.823232,-0.388889,1
-1.823232,-0.366667,1
-1.823232,-0.344444,1
-1.823232,-0.322222,1
-1.823232,-0.300000,1
-1.823232,-0.277778,1
-1.823232,-0.255556,1
-1.823232,-0.233333,1
-1.823232,-0.211111,1
-1.823232,-0.188889,1
-1.823232,-0.166667,1
-1.823232,-0.144444,1
-1.823232,-0.122222,1
-1.823232,-0.100000,1
-1.823232,-0.077778,1
-1.823232,-0.055556,1
-1.823232,-0.033333,1
-1.823232,-0.011111,1
-1.823232,0.011111,1
-1.823232,0.033333,1
-1.823232,0.055556,1
-1.823232,0.077778,1
-1.823232,0.100000,1
-1.823232,0.122222,1
-1.823232,0.144444,1
-1.823232,0.166667,1
-1.823232,0.188889,1
-1.823232,0.211111,1
-1.823232,0.233333,1
-1.823232,0.255556,1
-1.823232,0.277778,1
-1.823232,0.300000,1
-1.823232,0.322222,1
-1.823232,0.344444,1
-1.823232,0.366667,1
-1.823232,0.388889,1
-1.823232,0.411111,1
-1.823232,0.433333,1
-1.823232,0.455556,1
-1.823232,0.477778,1
-1.823232,0.500000,1
-1.823232,0.522222,1
-1.823232,0.544444,1
-1.823232,0.566667,1
-1.823232,0.588889,1
-1.823232,0.611111,1
-1.823232,0.633333,1
-1.823232,0.655556,1
-1.823232,0.677778,1
-1.823232,0.700000,1
-1.823232,0.722222,1
-1.823232,0.744444,1
-1.823232,0.766667,1
-1.823232,0.788889,1
-1.823232,0.811111,1
-1.823232,0.833333,1
-1.823232,0.855556,1
-1.823232,0.877778,1
-1.823232,0.900000,1
-1.823232,0.922222,1
-1.823232,0.944444,1
-1.823232,0.966667,1
-1.823232,0.988889,1
-1.823232,1.011111,1
-1.823232,1.033333,1
-1.823232,1.055556,1
-1.823232,1.077778,1
-1.823232,1.100000,1
-1.797980,-1.100000,1
-1.797980,-1.077778,1
-1.797980,-1.055556,1
-1.797980,-1.033333,1
-1.797980,-1.011111,1
-1.797980,-0.988889,1
-1.797980,-0.966667,1
-1.797980,-0.944444,1
-1.797980,-0.922222,1
-1.797980,-0.900000,1
-1.797980,-0.877778,1
-1.797980,-0.855556,1
-1.797980,-0.833333,1
-1.797980,-0.811111,1
-1.797980,-0.788889,1
-1.797980,-0.766667,1
-1.797980,-0.744444,1
-1.797980,-0.722222,1
-1.797980,-0.700000,1
-1.797980,-0.677778,1
-1.797980,-0.655556,1
-1.797980,-0.633333,1
-1.797980,-0.611111,1
-1.797980,-0.588889,1
-1.797980,-0.566667,1
-1.797980,-0.544444,1
-1.797980,-0.522222,1
-1.797980,-0.500000,1
-1.797980,-0.477778,1
-1.797980,-0.455556,1
-1.797980,-0.433333,1
-1.797980,-0.411111,1
-1.797980,-0.388889,1
-1.797980,-0.366667,1
-1.797980,-0.344444,1
-1.797980,-0.322222,1
-1.797980,-0.300000,1
-1.797980,-0.277778,1
-1.797980,-0.255556,1
-1.797980,-0.233333,1
-1.797980,-0.211111,1
-1.797980,-0.188889,1
-1.797980,-0.166667,1
-1.797980,-0.144444,1
-1.797980,-0.122222,1
-1.797980,-0.100000,1
-1.797980,-0.077778,1
-1.797980,-0.055556,1
-1.797980,-0.033333,1
-1.797980,-0.011111,1
-1.797980,0.011111,1
-1.797980,0.033333,1
-1.797980,0.055556,1
-1.797980,0.077778,1
-1.797980,0.100000,1
-1.797980,0.122222,1
-1.797980,0.144444,1
-1.797980,0.166667,1
-1.797980,0.188889,1
-1.797980,0.211111,1
-1.797980,0.233333,1
-1.797980,0.255556,1
-1.797980,0.277778,1
-1.797980,0.300000,1
-1.797980,0.322222,1
-1.797980,0.344444,1
-1.797980,0.366667,1
-1.797980,0.388889,1
-1.797980,0.411111,1
-1.797980,0.433333,1
-1.797980,0.455556,1
-1.797980,0.477778,1
-1.797980,0.500000,1
-1.797980,0.522222,1
-1.797980,0.544444,1
-1.797980,0.566667,1
-1.797980,0.588889,1
-1.797980,0.611111,1
-1.797980,0.633333,1
-1.797980,0.655556,1
-1.797980,0.677778,1
-1.797980,0.700000,1
-1.797980,0.722222,1
-1.797980,0.744444,1
-1.797980,0.766667,1
-1.797980,0.788889,1
-1.797980,0.811111,1
-1.797980,0.833333,1
-1.797980,0.855556,1
-1.797980,0.877778,1
-1.797980,0.900000,1
-1.797980,0.922222,1
-1.797980,0.944444,1
-1.797980,0.966667,1
-1.797980,0.988889,1
-1.797980,1.011111,1
-1.797980,1.033333,1
-1.797980,1.055556,1
-1.797980,1.077778,1
-1.797980,1.100000,1
-1.772727,-1.100000,1
-1.772727,-1.077778,1
-1.772727,-1.055556,1
-1.772727,-1.033333,1
-1.772727,-1.011111,1
-1.772727,-0.988889,1
-1.772727,-0.966667,1
-1.772727,-0.944444,1
-1.772727,-0.922222,1
-1.772727,-0.900000,1
-1.772727,-0.877778,1
-1.772727,-0.855556,1
-1.772727,-0.833333,1
-1.772727,-0.811111,1
-1.772727,-0.788889,1
-1.772727,-0.766667,1
-1.772727,-0.744444,1
-1.772727,-0.722222,1
-1.772727,-0.700000,1
-1.772727,-0.677778,1
-1.772727,-0.655556,1
-1.772727,-0.633333,1
-1.772727,-0.611111,1
-1.772727,-0.588889,1
-1.772727,-0.566667,1
-1.772727,-0.544444,1
-1.772727,-0.522222,1
-1.772727,-0.500000,1
-1.772727,-0.477778,1
-1.772727,-0.455556,1
-1.772727,-0.433333,1
-1.772727,-0.411111,1
-1.772727,-0.388889,1
-1.772727,-0.366667,1
-1.772727,-0.344444,1
-1.772727,-0.322222,1
-1.772727,-0.300000,1
-1.772727,-0.277778,1
-1.772727,-0.255556,1
-1.772727,-0.233333,1
-1.772727,-0.211111,1
-1.772727,-0.188889,1
-1.772727,-0.166667,1
-1.772727,-0.144444,1
-1.772727,-0.122222,1
-1.772727,-0.100000,1
-1.772727,-0.077778,1
-1.772727,-0.055556,1
-1.772727,-0.033333,1
-1.772727,-0.011111,1
-1.772727,0.011111,1
-1.772727,0.033333,1
-1.772727,0.055556,1
-1.772727,0.077778,1
-1.772727,0.100000,1
-1.772727,0.122222,1
-1.772727,0.144444,1
-1.772727,0.166667,1
-1.772727,0.188889,1
-1.772727,0.211111,1
-1.772727,0.233333,1
-1.772727,0.255556,1
-1.772727,0.277778,1
-1.772727,0.300000,1
-1.772727,0.322222,1
-1.772727,0.344444,1
-1.772727,0.366667,1
-1.772727,0.388889,1
-1.772727,0.411111,1
-1.772727,0.433333,1
-1.772727,0.455556,1
-1.772727,0.477778,1
-1.772727,0.500000,1
-1.772727,0.522222,1
-1.772727,0.544444,1
-1.772727,0.566667,1
-1.772727,0.588889,1
-1.772727,0.611111,1
-1.772727,0.633333,1
-1.772727,0.655556,1
-1.772727,0.677778,1
-1.772727,0.700000,1
-1.772727,0.722222,1
-1.772727,0.744444,1
-1.772727,0.766667,1
-1.772727,0.788889,1
-1.772727,0.811111,1
-1.772727,0.833333,1
-1.772727,0.855556,1
-1.772727,0.877778,1
-1.772727,0.900000,1
-1.772727,0.922222,1
-1.772727,0.944444,1
-1.772727,0.966667,1
-1.772727,0.988889,1
-1.772727,1.011111,1
-1.772727,1.033333,1
-1.772727,1.055556,1
-1.772727,1.077778,1
-1.772727,1.100000,1
-1.747475,-1.100000,1
-1.747475,-1.077778,1
-1.747475,-1.055556,1
-1.747475,-1.033333,1
-1.747475,-1.011111,1
-1.747475,-0.988889,1
-1.747475,-0.966667,1
-1.747475,-0.944444,1
-1.747475,-0.922222,1
-1.747475,-0.900000,1
-1.747475,-0.877778,1
-1.747475,-0.855556,1
-1.747475,-0.833333,1
-1.747475,-0.811111,1
-1.747475,-0.788889,1
-1.747475,-0.766667,1
-1.747475,-0.744444,1
-1.747475,-0.722222,1
-1.747475,-0.700000,1
-1.747475,-0.677778,1
-1.747475,-0.655556,1
-1.747475,-0.633333,1
-1.747475,-0.611111,1
-1.747475,-0.588889,1
-1.747475,-0.566667,1
-1.747475,-0.544444,1
-1.747475,-0.522222,1
-1.747475,-0.500000,1
-1.747475,-0.477778,1
-1.747475,-0.455556,1
-1.747475,-0.433333,1
-1.747475,-0.411111,1
-1.747475,-0.388889,1
